Filename, Use, Mean, Std
20200728_040012.511494-05-9B.iqData.XXXX.AKITA.dat, 202, -32.91160583496094, 30.899675369262695
20200728_040030.337918-06-9B.iqData.XXXX.AKITA.dat, 202, -33.5786018371582, 30.726224899291992
20200728_040048.017743-07-9B.iqData.XXXX.AKITA.dat, 205, -33.265907287597656, 30.105804443359375
20200728_040105.594534-08-9B.iqData.XXXX.AKITA.dat, 202, -27.921443939208984, 27.2327823638916
20200728_040123.170043-09-9B.iqData.XXXX.AKITA.dat, 202, -31.6025333404541, 29.944652557373047
20200728_040140.858967-0A-9B.iqData.XXXX.AKITA.dat, 199, -31.586380004882812, 29.5833740234375
20200728_040158.642915-0B-9B.iqData.XXXX.AKITA.dat, 202, -33.06233215332031, 31.24092674255371
20200728_040216.527845-0C-9B.iqData.XXXX.AKITA.dat, 205, -25.007335662841797, 25.152544021606445
20200728_040234.101494-0D-9B.iqData.XXXX.AKITA.dat, 204, -29.88694190979004, 28.557132720947266
20200728_040251.670607-0E-9B.iqData.XXXX.AKITA.dat, 203, -27.757423400878906, 27.24148941040039
20200728_040309.344374-0F-9B.iqData.XXXX.AKITA.dat, 205, -29.21422004699707, 28.074737548828125
20200728_180003.697131-2B-9B.iqData.XXXX.AKITA.dat, 190, -35.23715591430664, 30.68904685974121
20200728_180021.274630-2C-9B.iqData.XXXX.AKITA.dat, 194, -33.088951110839844, 29.64151382446289
20200728_180039.151327-2D-9B.iqData.XXXX.AKITA.dat, 199, -38.22053527832031, 32.12881088256836
20200728_180056.726433-2E-9B.iqData.XXXX.AKITA.dat, 194, -32.23236083984375, 29.141183853149414
20200728_180114.597952-2F-9B.iqData.XXXX.AKITA.dat, 193, -39.20358657836914, 32.543418884277344
20200728_180132.173258-30-9B.iqData.XXXX.AKITA.dat, 203, -36.69928741455078, 31.444517135620117
20200728_180149.745119-31-9B.iqData.XXXX.AKITA.dat, 194, -37.48977279663086, 32.096195220947266
20200728_180207.427280-32-9B.iqData.XXXX.AKITA.dat, 191, -32.62470245361328, 29.559932708740234
20200728_180225.006322-33-9B.iqData.XXXX.AKITA.dat, 200, -33.913970947265625, 30.085922241210938
20200728_180242.583929-34-9B.iqData.XXXX.AKITA.dat, 199, -35.74028015136719, 31.188478469848633
20200728_180300.160136-35-9B.iqData.XXXX.AKITA.dat, 201, -32.97264862060547, 29.720848083496094
20200809_010015.710512-0F-9B.iqData.XXXX.AKITA.dat, 203, -24.870267868041992, 22.35578155517578
20200809_010033.287429-10-9B.iqData.XXXX.AKITA.dat, 200, -25.551311492919922, 22.969812393188477
20200809_010050.871760-11-9B.iqData.XXXX.AKITA.dat, 199, -22.67545509338379, 18.738859176635742
20200809_010108.449326-12-9B.iqData.XXXX.AKITA.dat, 196, -24.128223419189453, 21.12564468383789
20200809_010126.134122-13-9B.iqData.XXXX.AKITA.dat, 209, -23.76689910888672, 20.70777702331543
